     1   1     0.264528     396.20947   14       8
     2   1     0.280584     227.26303   13       4
     3   1     0.156958      67.97880   13       4
     4   2     0.152346     135.95760   14       8
     5   1     0.373134     339.89399   13      11
     6   1     0.181629     271.91519   13      10
     7   1     0.387811     335.06289   13      11
     8   3     0.125932      96.13654   15      10
     9   1     0.207728     536.99817   15      13
    10   4     0.128125     152.45202   16      13
    11   2     0.215280     398.21058   15      17
    12   1     0.371651     808.91336   14      16
    13   5     0.142462     384.54615   17      22
    14   1     0.228553     278.74741   13      23
    15   3     0.151369     208.76750   16      17
    16   2     0.124320     124.29428   16      15
    17   4     0.197362     588.48255   17      22
    18   1     0.268304     227.26303   13      24
    19   1     0.248122     384.54615   13      16
    20   1     0.105918      79.64212   13      16
    21   1     0.163514     159.28423   13      15
    22   6     0.064535      39.82106   18      23
    23   7     0.110168      56.31548   18      24
    24   8     0.139850     389.37726   18      26
    25   1     0.305758     504.00933   14      26
    26   9     0.127216     396.20947   18      29
    27   1     0.271073     696.28240   14      28
    28   2     0.186909     492.34601   16      29
    29  10     0.000100      28.15774    6       0   SAVE   "OUTLET_29"
    30   1     0.257422      96.13654   13      28
