#ID   W       D       n        inf
1     0.724   0.150   0.0300   0.0000
2     0.997   0.150   0.0300   0.0000
3     1.371   0.186   0.0300   0.0000
4     1.886   0.230   0.0300   0.0000
5     2.594   0.284   0.0300   0.0000
6     3.567   0.352   0.0300   0.0000
7     0.724   0.150   0.0500   0.0000
8     0.997   0.150   0.0500   0.0000
9     1.371   0.186   0.0500   0.0000
10    1.886   0.230   0.0500   0.0000
11    2.594   0.284   0.0500   0.0000
12    3.567   0.352   0.0500   0.0000
13    0.724   0.150   0.1000   0.0000
14    0.997   0.150   0.1000   0.0000
15    1.371   0.186   0.1000   0.0000
16    1.886   0.230   0.1000   0.0000
17    2.594   0.284   0.1000   0.0000
18    3.567   0.352   0.1000   0.0000
