###### Generated by WW-DHSVM -- edit with care ######
# Generated: September 23, 2026 05:19 PM
#                   Segment  Cut/Bank     Cut     Segment
#  Col  Row  ID      Length   Height     Width     Aspect   SINK?
#                     (m)      (m)        (m)       (d)    (optional)
#
   44     9     1     32.8231     0.1500    0.7400   194.1091
   51     9     2     31.0736     0.1500    0.9800   194.0019
   43    10     1     32.8231     0.1500    0.7400   177.4829
   51    10     2     31.0736     0.1500    0.9800   199.5934
   43    11     1     32.8231     0.1500    0.7400   178.7646
   51    11     2     31.0736     0.1500    0.9800   208.1591
   43    12     1     32.8231     0.1500    0.7400   178.6482
   51    12     2     31.0736     0.1500    0.9800   202.4412
   29    13     3     30.2783     0.1500    0.7400   172.5396
   43    13     1     32.8231     0.1500    0.7400   177.5475
   51    13     2     31.0736     0.1500    0.9800   171.1370
   29    14     3     30.2783     0.1500    0.7400   161.7078
   43    14     1     32.8231     0.1500    0.7400   178.5888
   52    14     2     31.0736     0.1500    0.9800   206.4694
   59    14     4     30.1016     0.1500    0.7400   188.2832
   29    15     3     30.2783     0.1500    0.7400   164.5496
   43    15     1     32.8231     0.1500    0.7400   182.3443
   52    15     2     31.0736     0.1500    0.9800   135.5760
   59    15     4     30.1016     0.1500    0.7400   183.0446
   29    16     3     30.2783     0.1500    0.7400   173.7239
   39    16     5     35.1557     0.1500    0.7400    77.7954
   40    16     5     35.1557     0.1500    0.7400   103.8080
   41    16     5     35.1557     0.1500    0.7400   131.0212
   42    16     1     32.8231     0.1500    0.7400   157.1760
   53    16     2     31.0736     0.1500    0.9800   184.2678
   59    16     4     30.1016     0.1500    0.7400   177.0805
   63    16     6     37.4884     0.1500    0.7400   257.3288
   29    17     3     30.2783     0.1500    0.7400   172.3178
   42    17     5     35.1557     0.1500    0.7400   101.1394
   43    17     1     32.8231     0.1500    0.7400   163.8048
   53    17     2     31.0736     0.1500    0.9800   145.9739
   59    17     4     30.1016     0.1500    0.7400   177.2546
   61    17     6     37.4884     0.1500    0.7400   247.8765
   62    17     6     37.4884     0.1500    0.7400   274.3336
   23    18     7     39.8211     0.1500    0.7400   153.4423
   29    18     3     30.2783     0.1500    0.7400   164.9642
   43    18     5     35.1557     0.1500    0.7400    93.4880
   44    18     1     32.8231     0.1500    0.7400   170.4004
   53    18     2     31.0736     0.1500    0.9800   123.5823
   59    18     4     30.1016     0.1500    0.7400   214.2966
   60    18     6     37.4884     0.1500    0.7400   272.3099
    9    19     8     30.9021     0.1500    0.9800    67.9364
   10    19     8     30.9021     0.1500    0.9800    72.5603
   11    19     8     30.9021     0.1500    0.9800    77.4362
   12    19     8     30.9021     0.1500    0.9800    96.7379
   20    19     8     30.9021     0.1500    0.9800    94.1829
   21    19     8     30.9021     0.1500    0.9800    87.6404
   22    19     8     30.9021     0.1500    0.9800    88.1867
   23    19     8     30.9021     0.1500    0.9800   108.5440
   24    19     7     39.8211     0.1500    0.7400   162.1570
   29    19     3     30.2783     0.1500    0.7400   167.8914
   44    19     9     31.4901     0.1792    1.2972   118.1361
   54    19     2     31.0736     0.1500    0.9800   197.3846
   58    19     4     30.1016     0.1500    0.7400   178.7442
   59    19     6     37.4884     0.1500    0.7400   257.4018
   13    20     8     30.9021     0.1500    0.9800    85.1129
   14    20     8     30.9021     0.1500    0.9800   109.9984
   15    20     8     30.9021     0.1500    0.9800   130.5986
   16    20     8     30.9021     0.1500    0.9800   123.8741
   17    20     8     30.9021     0.1500    0.9800   101.8578
   18    20     8     30.9021     0.1500    0.9800    81.0258
   19    20     8     30.9021     0.1500    0.9800    74.6498
   24    20     8     30.9021     0.1500    0.9800   110.0321
   25    20     7     39.8211     0.1500    0.7400   154.9812
   29    20     3     30.2783     0.1500    0.7400   177.0217
   45    20     9     31.4901     0.1792    1.2972   221.6061
   54    20     2     31.0736     0.1500    0.9800   192.3075
   58    20    10     32.0455     0.1500    0.9800   209.4072
   25    21     8     30.9021     0.1500    0.9800   103.4437
   26    21    11     36.9052     0.1792    1.2972   131.6387
   29    21     3     30.2783     0.1500    0.7400   180.6477
   45    21     9     31.4901     0.1792    1.2972   206.3927
   54    21     2     31.0736     0.1500    0.9800   189.4974
   58    21    10     32.0455     0.1500    0.9800   222.3461
   27    22    11     36.9052     0.1792    1.2972    84.6540
   28    22    11     36.9052     0.1792    1.2972   109.3860
   29    22     3     30.2783     0.1500    0.7400   158.4981
   45    22     9     31.4901     0.1792    1.2972   199.9534
   54    22     2     31.0736     0.1500    0.9800   182.6811
   57    22    10     32.0455     0.1500    0.9800   160.8489
   58    22    13     33.9894     0.1500    0.7400   246.8494
   29    23    11     36.9052     0.1792    1.2972   119.7151
   30    23     3     30.2783     0.1500    0.7400   166.8945
   45    23     9     31.4901     0.1792    1.2972   206.9492
   54    23     2     31.0736     0.1500    0.9800   167.6633
   57    23    12     39.8211     0.1792    1.2972   230.6829
   59    23    13     33.9894     0.1500    0.7400   279.2417
   60    23    13     33.9894     0.1500    0.7400   267.5230
   61    23    13     33.9894     0.1500    0.7400   259.5130
   29    24    20     33.4592     0.1500    0.7400    93.0065
   30    24    14     28.1577     0.2160    1.7170   102.4220
   31    24    15     29.9521     0.2160    1.7170   139.1220
   44    24     9     31.4901     0.1792    1.2972   156.5889
   55    24     2     31.0736     0.1500    0.9800   186.9816
   56    24    12     39.8211     0.1792    1.2972   222.6591
   25    25    20     33.4592     0.1500    0.7400    92.1135
   26    25    20     33.4592     0.1500    0.7400    87.6596
   27    25    20     33.4592     0.1500    0.7400    75.4517
   28    25    20     33.4592     0.1500    0.7400    54.7224
   32    25    15     29.9521     0.2160    1.7170    51.4231
   33    25    15     29.9521     0.2160    1.7170    89.0119
   34    25    15     29.9521     0.2160    1.7170   122.5773
   44    25     9     31.4901     0.1792    1.2972   174.1741
