     1   1     0.213035     328.23067   13       9
     2   1     0.202856     497.17711   14      16
     3   1     0.214843     333.06178   13      15
     4   1     0.207822     180.60976   13      10
     5   1     0.133041     175.77865   13       9
     6   1     0.170888     187.44197   13      10
     7   1     0.191915     119.46317   13      11
     8   1     0.254244     525.33485   14      11
     9   2     0.155433     220.43082   15      17
    10   2     0.116328      96.13654   14      12
    11   2     0.137494     147.62091   15      14
    12   3     0.105507      79.64212   15      16
    13   1     0.225020     135.95760   13      12
    14   3     0.100549      28.15774   16      15
    15   4     0.107820     389.37726   16      17
    16   4     0.069797      96.13654   16      19
    17   5     0.095402     255.42077   17      21
    18   1     0.127185      67.97880   13      19
    19   5     0.080197     215.59971   16      21
    20   1     0.300095     368.05173   13      14
    21   6     0.085580     304.90404   18      27
    22   1     0.232811     457.35605   14      27
    23   1     0.261824      39.82106   13      26
    24   1     0.173742     147.62091   13      28
    25   1     0.089848      56.31548   13      26
    26   2     0.277874     649.62913   15      28
    27   7     0.071649     175.77865   18      29
    28   3     0.147494     119.46317   16      29
    29   8     0.086526     203.93639   18       0   SAVE   "OUTLET_29"
