#ID   W       D       n        inf
1     0.740   0.150   0.0300   0.0000
2     0.980   0.150   0.0300   0.0000
3     1.297   0.179   0.0300   0.0000
4     1.717   0.216   0.0300   0.0000
5     2.273   0.260   0.0300   0.0000
6     3.008   0.314   0.0300   0.0000
7     0.740   0.150   0.0500   0.0000
8     0.980   0.150   0.0500   0.0000
9     1.297   0.179   0.0500   0.0000
10    1.717   0.216   0.0500   0.0000
11    2.273   0.260   0.0500   0.0000
12    3.008   0.314   0.0500   0.0000
13    0.740   0.150   0.1000   0.0000
14    0.980   0.150   0.1000   0.0000
15    1.297   0.179   0.1000   0.0000
16    1.717   0.216   0.1000   0.0000
17    2.273   0.260   0.1000   0.0000
18    3.008   0.314   0.1000   0.0000
