1 1 0.43676 152.45202 13 30
2 1 0.57239 536.99817 13 30
3 1 0.42555 379.71505 13 30
4 1 0.68427 609.80807 13 30
5 1 0.58365 28.15774 13 30
6 1 0.43858 28.15774 13 30
7 1 0.45224 147.62091 13 30
8 1 0.33977 28.15774 13 30
9 1 0.55486 28.15774 13 15
10 1 0.33167 28.15774 13 16
11 1 0.25366 255.42077 13 17
12 1 0.43778 39.82106 13 18
13 1 0.21189 28.15774 13 19
14 1 0.30594 175.77865 13 20
15 1 0.62241 79.64212 13 30
16 1 0.50003 333.06178 13 30
17 1 0.29202 28.15774 13 21
18 1 0.45984 28.15774 13 25
19 1 0.26534 389.37726 13 22
20 1 0.25009 28.15774 13 23
21 1 0.41070 271.91519 13 24
22 1 0.37924 28.15774 13 25
23 1 0.25868 147.62091 13 26
24 1 0.42050 96.13654 13 30
25 2 0.52707 203.93639 13 30
26 1 0.27383 28.15774 13 27
27 1 0.36149 276.74630 13 28
28 1 0.28390 311.73625 13 29
29 1 0.50779 440.86163 13 30
30 13 0.51947 265.08298 13 -1
