cells,area_m2,area_km2,n_stream_cells,n_streams,n_order1,n_higher,max_order,drainage_density,t_abs,n_negative_drops,passes
350,277500.414544391,0.277500414544391,63,6,3,3,2,0.7795803014718953,1.7933748082582723,1,True
360,285428.99781708786,0.28542899781708786,62,6,3,3,2,0.7672060109723414,1.6420107174715033,1,True
370,293357.58108978474,0.2933575810897847,62,6,3,3,2,0.7672060109723414,1.6420107174715033,1,True
380,301286.1643624816,0.3012861643624816,60,6,3,3,2,0.7424574299732336,1.327862251964957,1,True
390,309214.7476351785,0.3092147476351785,60,6,3,3,2,0.7424574299732336,1.327862251964957,1,True
400,317143.3309078754,0.3171433309078754,59,6,3,3,2,0.7300831394736796,1.2541393212518464,1,True
410,325071.9141805723,0.3250719141805723,54,6,3,3,2,0.6682116869759103,1.0882905872367021,1,True
420,333000.4974532692,0.3330004974532692,54,6,3,3,2,0.6682116869759103,1.0882905872367021,1,True
430,340929.0807259661,0.34092908072596606,54,6,3,3,2,0.6682116869759103,1.0882905872367021,1,True
440,348857.66399866296,0.34885766399866297,54,6,3,3,2,0.6682116869759103,1.0882905872367021,1,True
450,356786.24727135984,0.3567862472713598,54,6,3,3,2,0.6682116869759103,1.0882905872367021,1,True
460,364714.8305440567,0.36471483054405673,54,6,3,3,2,0.6682116869759103,1.0882905872367021,1,True
470,372643.4138167536,0.3726434138167536,54,6,3,3,2,0.6682116869759103,1.0882905872367021,1,True
480,380571.9970894505,0.3805719970894505,54,6,3,3,2,0.6682116869759103,1.0882905872367021,1,True
490,388500.58036214736,0.38850058036214735,54,6,3,3,2,0.6682116869759103,1.0882905872367021,1,True
500,396429.16363484424,0.39642916363484426,51,4,2,2,2,0.6310888154772486,0.5781555543096794,1,True
510,404357.7469075411,0.4043577469075411,50,4,2,2,2,0.6187145249776946,0.5319047161871285,1,True
520,412286.330180238,0.412286330180238,49,4,2,2,2,0.6063402344781408,0.46465542485801914,1,True
530,420214.91345293494,0.42021491345293494,48,4,2,2,2,0.5939659439785869,0.42233050867540584,1,True
540,428143.4967256318,0.42814349672563184,48,4,2,2,2,0.5939659439785869,0.42233050867540584,1,True
550,436072.0799983287,0.4360720799983287,47,4,2,2,2,0.581591653479033,0.3910841439692114,1,True
560,444000.6632710256,0.44400066327102555,47,4,2,2,2,0.581591653479033,0.3910841439692114,1,True
570,451929.24654372246,0.45192924654372246,47,4,2,2,2,0.581591653479033,0.3910841439692114,1,True
580,459857.82981641934,0.4598578298164193,47,4,2,2,2,0.581591653479033,0.3910841439692114,1,True
590,467786.4130891162,0.4677864130891162,47,4,2,2,2,0.581591653479033,0.3910841439692114,1,True
600,475714.9963618131,0.4757149963618131,47,4,2,2,2,0.581591653479033,0.3910841439692114,1,True
